,Time,TweetUrl,Content,English,Covid tweets,Sub-category,UserID,UserName,RetweetNum,LikeNum,UserHandle,UserUrl,Location,UserID_PostID,,
1247579719714963457,Tue Apr 07 17:39:18 +0000 2020,https://twitter.com/@RTErdogan/status/1247579719714963457,"Başta ülkemizin dört bir yanında büyük bir fedakârlıkla görevlerini yerine getiren, özellikle de Koronavirüs’le mücadelemizde en ön saflarda yer alan sağlık çalışanlarımız olmak üzere, tüm vatandaşlarımızın 7 Nisan #DünyaSağlıkGünü’nü tebrik ediyorum. https://t.co/PCLRnhPZEJ",,,,68034431,Recep Tayyip Erdoğan,6905,42522,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1247579719714963457",,~
1247600031147778048,Tue Apr 07 19:00:01 +0000 2020,https://twitter.com/@RTErdogan/status/1247600031147778048,"Rahmet-i Rahmanın kâinatı kapladığı, Ramazan-ı Şerif’in müjdelendiği Berat Gecesi’nin, Milletimiz, İslam alemi ve tüm insanlık için hayırlara vesile olmasını Rabbimden niyaz ediyorum. 
  
  Gecemiz mübarek olsun. https://t.co/sTzKzEZslc",,,,68034431,Recep Tayyip Erdoğan,12073,72275,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1247600031147778048",,~
1247951449193054210,Wed Apr 08 18:16:25 +0000 2020,https://twitter.com/@RTErdogan/status/1247951449193054210,"Cumhurbaşkanı @RTErdogan’ın Hamursuz Bayramı mesajı: “Musevilik inancının en önemli dini bayramlarından biri olan Pesah vesilesiyle, Musevi vatandaşlarımızı en içten duygularımla tebrik ediyorum.” https://t.co/QN1embriUT",,,,272613386,Recep Tayyip Erdoğan,2108,13536,@RTErdogan,https://twitter.com/@RTErdogan,Ankara,"@RTErdogan,1247951449193054210",,~
1247963379286892546,Wed Apr 08 19:03:50 +0000 2020,https://twitter.com/@RTErdogan/status/1247963379286892546,RT @tcbestepe: Cumhurbaşkanı @RTErdogan’ın Hamursuz Bayramı mesajı: “Musevilik inancının en önemli dini bayramlarından biri olan Pesah vesi…,,,,68034431,Recep Tayyip Erdoğan,2108,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1247963379286892546",,~
1248534428823027716,Fri Apr 10 08:52:59 +0000 2020,https://twitter.com/@RTErdogan/status/1248534428823027716,"Türk Konseyi COVID-19’la Mücadele Konulu Olağanüstü Video Konferans Zirvesi
  
  https://t.co/yJVMzBrVGP",,,,68034431,Recep Tayyip Erdoğan,4417,21853,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1248534428823027716",,~
1248539193804021760,Fri Apr 10 09:11:55 +0000 2020,https://twitter.com/@RTErdogan/status/1248539193804021760,"Ülkemizde barış, refah ve huzurun güvencesi Türk Polis Teşkilatı’mızın 175. kuruluş yıl dönümünü tebrik ediyorum. Bu vesileyle milleti, bayrağı, vatanı, devleti için hayatlarını feda eden aziz şehitlerimize Allah'tan rahmet diliyor, gazilerimize şükranlarımı sunuyorum. https://t.co/GaDg5Rd2Gi",,,,68034431,Recep Tayyip Erdoğan,6342,33997,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1248539193804021760",,~
1248688205785968642,Fri Apr 10 19:04:02 +0000 2020,https://twitter.com/@RTErdogan/status/1248688205785968642,"Allah’ın izniyle Koronavirüs’le savaşı elbette kazanacağız. Ardından da yeni bir dünya gerçeğiyle karşı karşıya kalacağız.
  
  Bu nedenle, bir taraftan mücadelemizi sürdürürken diğer taraftan da salgın sonrası dönem için hazırlık yapmalıyız. https://t.co/hNOGiwfDvp",,,,68034431,Recep Tayyip Erdoğan,10633,51114,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1248688205785968642",,~
1248937627631390720,Sat Apr 11 11:35:09 +0000 2020,https://twitter.com/@RTErdogan/status/1248937627631390720,"Türkiye Cumhuriyeti Cumhurbaşkanlığı olarak Şanlıurfa’nın düşman işgalinden kurtuluş yıl dönümünü kutluyoruz. 
  
  Kahraman şehit ve gazilerimizi rahmet ve minnetle anıyor, tüm Şanlıurfalı vatandaşlarımıza saygılarımızı sunuyoruz. https://t.co/xQgNBawcjB",,,,272613386,Recep Tayyip Erdoğan,3534,23442,@RTErdogan,https://twitter.com/@RTErdogan,Ankara,"@RTErdogan,1248937627631390720",,~
1248952489921183744,Sat Apr 11 12:34:12 +0000 2020,https://twitter.com/@RTErdogan/status/1248952489921183744,"RT @tcbestepe: Türkiye Cumhuriyeti Cumhurbaşkanlığı olarak Şanlıurfa’nın düşman işgalinden kurtuluş yıl dönümünü kutluyoruz. 
  
  Kahraman şeh…",,,,68034431,Recep Tayyip Erdoğan,3534,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1248952489921183744",,~
1249304357608345600,Sun Apr 12 11:52:24 +0000 2020,https://twitter.com/@RTErdogan/status/1249304357608345600,"Cumhurbaşkanı @RTErdogan: “Muhtelif kilise ve gruplara mensup Hristiyan vatandaşlarımızı, en önemli yortularından biri olan Paskalya münasebetiyle en içten duygularımla tebrik ediyorum.” https://t.co/mYFOGjv7g1",,,,272613386,Recep Tayyip Erdoğan,2708,20491,@RTErdogan,https://twitter.com/@RTErdogan,Ankara,"@RTErdogan,1249304357608345600",,~
1249308090022887424,Sun Apr 12 12:07:14 +0000 2020,https://twitter.com/@RTErdogan/status/1249308090022887424,"RT @tcbestepe: Cumhurbaşkanı @RTErdogan: “Muhtelif kilise ve gruplara mensup Hristiyan vatandaşlarımızı, en önemli yortularından biri olan…",,,,68034431,Recep Tayyip Erdoğan,2708,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1249308090022887424",,~
1249723657414479873,Mon Apr 13 15:38:33 +0000 2020,https://twitter.com/@RTErdogan/status/1249723657414479873,"Kabine Toplantısı Sonrası Millete Sesleniş 
  
  https://t.co/XE0hX0xNvS",,,,68034431,Recep Tayyip Erdoğan,8573,43687,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1249723657414479873",,~
1249767341417738240,Mon Apr 13 18:32:08 +0000 2020,https://twitter.com/@RTErdogan/status/1249767341417738240,"İstihdamı korumak, gelirini kaybeden vatandaşlarımıza sahip çıkmak, emeklilerimize destek vermek, esnafı ve sanatkârı ayakta tutmak, üretimi desteklemek için her önlemi alıyoruz. 
  
  Attığımız ve atacağımız adımlarla hiçbir kesimi sahipsiz bırakmamakta kararlıyız. https://t.co/qbMqyQbAnV",,,,68034431,Recep Tayyip Erdoğan,10081,47682,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1249767341417738240",,~
1249996367260499969,Tue Apr 14 09:42:12 +0000 2020,https://twitter.com/@RTErdogan/status/1249996367260499969,"KOVİD-19 sebebiyle hayatını kaybeden Bağımsız Türkiye Partisi Genel Başkanı Haydar Baş’ın vefatından derin üzüntü duydum.
  
  Sayın Baş'a ve aynı hastalıktan vefat eden tüm vatandaşlarıma Allah’tan rahmet, yakınlarına ve sevenlerine başsağlığı diliyorum. Mekânları cennet olsun.",,,,68034431,Recep Tayyip Erdoğan,4993,45047,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1249996367260499969",,~
1250031045027586050,Tue Apr 14 12:00:00 +0000 2020,https://twitter.com/@RTErdogan/status/1250031045027586050,"Türkiye, ilhamını medeniyetinden alan bir hamiyet, bir vefa, bir adalet, bir vakar devletidir. https://t.co/3UpkC6kzQ6",,,,68034431,Recep Tayyip Erdoğan,7011,33146,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1250031045027586050",,~
1250047716031332352,Tue Apr 14 13:06:14 +0000 2020,https://twitter.com/@RTErdogan/status/1250047716031332352,TBMM Genel Kurulu'nda kabul edilen yeni infaz düzenlemesi Milletimize hayırlı olsun. https://t.co/wCPUp4UwLk,,,,68034431,Recep Tayyip Erdoğan,6280,30560,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1250047716031332352",,~
1250363259540115456,Wed Apr 15 10:00:06 +0000 2020,https://twitter.com/@RTErdogan/status/1250363259540115456,"Türkiye Cumhuriyeti Cumhurbaşkanlığı olarak Ağrı’nın düşman işgalinden kurtuluş yıl dönümünü kutluyoruz. 
  
  Kahraman şehit ve gazilerimizi rahmet ve minnetle anıyor, tüm Ağrılı vatandaşlarımıza saygılarımızı sunuyoruz. https://t.co/ggXzJXADdb",,,,272613386,Recep Tayyip Erdoğan,3286,23019,@RTErdogan,https://twitter.com/@RTErdogan,Ankara,"@RTErdogan,1250363259540115456",,~
1250363259540115456,Wed Apr 15 10:00:06 +0000 2020,https://twitter.com/@RTErdogan/status/1250363259540115456,"Türkiye Cumhuriyeti Cumhurbaşkanlığı olarak Ağrı’nın düşman işgalinden kurtuluş yıl dönümünü kutluyoruz. 
  
  Kahraman şehit ve gazilerimizi rahmet ve minnetle anıyor, tüm Ağrılı vatandaşlarımıza saygılarımızı sunuyoruz. https://t.co/ggXzJXADdb",,,,272613386,Recep Tayyip Erdoğan,3286,23018,@RTErdogan,https://twitter.com/@RTErdogan,Ankara,"@RTErdogan,1250363259540115456",,~
1250369958044991491,Wed Apr 15 10:26:43 +0000 2020,https://twitter.com/@RTErdogan/status/1250369958044991491,"RT @tcbestepe: Türkiye Cumhuriyeti Cumhurbaşkanlığı olarak Ağrı’nın düşman işgalinden kurtuluş yıl dönümünü kutluyoruz. 
  
  Kahraman şehit ve…",,,,68034431,Recep Tayyip Erdoğan,3286,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1250369958044991491",,~
1251118211409608706,Fri Apr 17 12:00:00 +0000 2020,https://twitter.com/@RTErdogan/status/1251118211409608706,"Ülkemizin gelişmesi ve ilerlemesi sürecinde büyük rol oynayan, Milletimizin gönlünde müstesna bir yere sahip olan 8. Cumhurbaşkanımız #TurgutÖzal’a vefatının 27. yıl dönümünde Allah’tan rahmet niyaz ediyor, kendisini saygıyla anıyorum. https://t.co/PCozxuUo66",,,,68034431,Recep Tayyip Erdoğan,9398,53490,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1251118211409608706",,~
1251267451280556032,Fri Apr 17 21:53:02 +0000 2020,https://twitter.com/@RTErdogan/status/1251267451280556032,"#GeceninErdoğanFotoğrafı 
  
  3 yıl önce halk oylamasıyla kabul edilen Anayasa değişikliğiyle birlikte tesis edilen Cumhurbaşkanlığı Hükûmet Sistemi'nin ilk seçimini kazanarak yeniden Türkiye Cumhurbaşkanı seçilen Recep Tayyip Erdoğan 9 Temmuz 2018 tarihinde resmen göreve başladı. https://t.co/UPCznHYAKf",,,,272613386,Recep Tayyip Erdoğan,6799,42232,@RTErdogan,https://twitter.com/@RTErdogan,Ankara,"@RTErdogan,1251267451280556032",,~
1251277294359982085,Fri Apr 17 22:32:09 +0000 2020,https://twitter.com/@RTErdogan/status/1251277294359982085,"RT @tcbestepe: #GeceninErdoğanFotoğrafı 
  
  3 yıl önce halk oylamasıyla kabul edilen Anayasa değişikliğiyle birlikte tesis edilen Cumhurbaşka…",,,,68034431,Recep Tayyip Erdoğan,6799,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1251277294359982085",,~
